img,individual,entry,rot,F,PixAcc
./results/DESIGNATE/R_0.20801355587443704_0.8674251347139533.png,"(0.20801355587443704, 0.8674251347139533)",2080,312,"(0.0009442084487365881, 24.79133561866101)",0
./results/DESIGNATE/R_0.20801355587443704_0.8674251502137649.png,"(0.20801355587443704, 0.8674251502137649)",2080,312,"(0.0009442007797270955, 24.485248245282136)",0
./results/DESIGNATE/R_0.14675589081711304_0.0923385947687978.png,"(0.14675589081711304, 0.0923385947687978)",1467,33,"(0.2234720715430322, 25.74794314157905)",0
./results/DESIGNATE/R_0.1862602113776709_0.34556072704304774.png,"(0.1862602113776709, 0.34556072704304774)",1862,124,"(0.2281769539461112, 16.59124246330959)",0
./results/DESIGNATE/R_0.2080134898823307_0.8674254029141292.png,"(0.2080134898823307, 0.8674254029141292)",2080,312,"(0.0009442007797270955, 19.556121459394728)",0
./results/DESIGNATE/R_0.17807003025563647_0.8621130491227482.png,"(0.17807003025563647, 0.8621130491227482)",1780,310,"(0.0766501535418002, 13.234056482226938)",0
./results/DESIGNATE/R_0.17807003025563647_0.8467941316550913.png,"(0.17807003025563647, 0.8467941316550913)",1780,304,"(0.07460517817013583, 29.901558158063917)",0
./results/DESIGNATE/R_0.14038693859523377_0.1981014890848788.png,"(0.14038693859523377, 0.1981014890848788)",1403,71,"(0.21515635419225776, 28.079706766037432)",0
./results/DESIGNATE/R_0.2080134908002733_0.8674276830196483.png,"(0.2080134908002733, 0.8674276830196483)",2080,312,"(0.0009468535015174196, 16.15250869133756)",0
./results/DESIGNATE/R_0.31342417815924284_0.6923226156693141.png,"(0.31342417815924284, 0.6923226156693141)",3134,249,"(0.288430574339737, 16.11771998286815)",0
./results/DESIGNATE/R_0.14591602874240645_0.11458623630724196.png,"(0.14591602874240645, 0.11458623630724196)",1459,41,"(0.20919654699388096, 12.458025497882295)",0
./results/DESIGNATE/R_0.26396346399281645_0.34556072704304774.png,"(0.26396346399281645, 0.34556072704304774)",2639,124,"(0.3170540881979037, 29.44273170529379)",0
./results/DESIGNATE/R_0.319011765976886_0.6926808313546943.png,"(0.319011765976886, 0.6926808313546943)",3190,249,"(0.2176776216012249, 28.905006341074557)",0
./results/DESIGNATE/R_0.4325952747472879_0.6852195003967595.png,"(0.4325952747472879, 0.6852195003967595)",4325,246,"(0.23215055034851484, 15.938058672078395)",0
./results/DESIGNATE/R_0.314264040544793_0.670193824465803.png,"(0.314264040544793, 0.670193824465803)",3142,241,"(0.2971195115565247, 19.49123890009823)",0
./results/DESIGNATE/R_0.4191945144032948_0.5335875690624381.png,"(0.4191945144032948, 0.5335875690624381)",4191,192,"(0.22585588775532786, 25.025502186112384)",0
./results/DESIGNATE/R_0.08914237536084679_0.30233257263183977.png,"(0.08914237536084679, 0.30233257263183977)",891,108,"(0.23404482233614546, 28.12035710354685)",0
./results/DESIGNATE/R_0.39117988641302676_0.5384585183179591.png,"(0.39117988641302676, 0.5384585183179591)",3911,193,"(0.28354923645235214, 22.57645091058407)",0
./results/DESIGNATE/R_0.42742698724980793_0.5346649102132993.png,"(0.42742698724980793, 0.5346649102132993)",4274,192,"(0.23225702777213414, 12.621464942724149)",0
./results/DESIGNATE/R_0.20445224973151743_0.8620844336293138.png,"(0.20445224973151743, 0.8620844336293138)",2044,310,"(0.4214522118547029, 15.114133228422917)",0
./results/DESIGNATE/R_0.1423836037270285_0.21462919969143837.png,"(0.1423836037270285, 0.21462919969143837)",1423,77,"(0.3594701401471716, 21.15167678849967)",0
./results/DESIGNATE/R_0.4295821059054209_0.5548489065613469.png,"(0.4295821059054209, 0.5548489065613469)",4295,199,"(0.23475751409070086, 25.189784560593587)",0
./results/DESIGNATE/R_0.20445224973151743_0.8350954119119174.png,"(0.20445224973151743, 0.8350954119119174)",2044,300,"(0.37468078743814875, 27.26942834032609)",0
./results/DESIGNATE/R_0.3749488311738865_0.5384585183179591.png,"(0.3749488311738865, 0.5384585183179591)",3749,193,"(0.15906572490370047, 16.084872228483704)",0
./results/DESIGNATE/R_0.2180804506126665_0.08797864970224022.png,"(0.2180804506126665, 0.08797864970224022)",2180,31,"(0.19170868647856096, 27.485216020569894)",0
./results/DESIGNATE/R_0.03192520208669111_0.1982744220158376.png,"(0.03192520208669111, 0.1982744220158376)",319,71,"(0.21715568761184456, 29.14441298882885)",0
./results/DESIGNATE/R_0.26396346399281645_0.46538234947441104.png,"(0.26396346399281645, 0.46538234947441104)",2639,167,"(0.3181457349029747, 23.865866645156842)",0
./results/DESIGNATE/R_0.39676747423066994_0.5316568919520666.png,"(0.39676747423066994, 0.5316568919520666)",3967,191,"(0.22868144390530804, 26.768746414658676)",0
./results/DESIGNATE/R_0.8007445686755367_0.9509214943199404.png,"(0.8007445686755367, 0.9509214943199404)",8007,342,"(0.2214208478304045, 13.010219355373327)",0
./results/DESIGNATE/R_0.14038693859523377_0.19399494185623248.png,"(0.14038693859523377, 0.19399494185623248)",1403,69,"(0.21638845937587856, 19.441200768416017)",0
./results/DESIGNATE/R_0.14038693859523377_0.21445626676047955.png,"(0.14038693859523377, 0.21445626676047955)",1403,77,"(0.21096815561859228, 21.692618323281195)",0
./results/DESIGNATE/R_0.39911942969608144_0.5384585183179591.png,"(0.39911942969608144, 0.5384585183179591)",3991,193,"(0.18989317264105698, 26.482250721252637)",0
./results/DESIGNATE/R_0.20445224973151743_0.9710189780596067.png,"(0.20445224973151743, 0.9710189780596067)",2044,349,"(0.309058731434719, 26.371900930393668)",0
./results/DESIGNATE/R_0.25512399016116244_0.6969626032521574.png,"(0.25512399016116244, 0.6969626032521574)",2551,250,"(0.2018754569658845, 24.116043457896726)",0
./results/DESIGNATE/R_0.20445224973151743_0.9691651014838556.png,"(0.20445224973151743, 0.9691651014838556)",2044,348,"(0.35007389997853694, 25.574615132812873)",0
./results/DESIGNATE/R_0.17408825265756345_0.8620844336293138.png,"(0.17408825265756345, 0.8620844336293138)",1740,310,"(0.20093484259728558, 26.351178863990587)",0
./results/DESIGNATE/R_0.36558591036144006_0.531760683471209.png,"(0.36558591036144006, 0.531760683471209)",3655,191,"(0.22150581908016995, 15.014465532252634)",0
./results/DESIGNATE/R_0.39676747423066994_0.5461859829805668.png,"(0.39676747423066994, 0.5461859829805668)",3967,196,"(0.22532147713136808, 23.66765048212274)",0
./results/DESIGNATE/R_0.3749488311738865_0.5393829704286713.png,"(0.3749488311738865, 0.5393829704286713)",3749,194,"(0.19630566459757864, 20.936885807870908)",0
./results/DESIGNATE/R_0.3792938054381446_0.5387129424842145.png,"(0.3792938054381446, 0.5387129424842145)",3792,193,"(0.32725874972431107, 18.180164483014764)",0
./results/DESIGNATE/R_0.39911942969608144_0.5803817445671465.png,"(0.39911942969608144, 0.5803817445671465)",3991,208,"(0.22618559518928522, 28.196733006408362)",0
./results/DESIGNATE/R_0.23689436608560022_0.8620844336293138.png,"(0.23689436608560022, 0.8620844336293138)",2368,310,"(0.2176091587168798, 12.374725953167172)",0
./results/DESIGNATE/R_0.20651578022795045_0.516297744162024.png,"(0.20651578022795045, 0.516297744162024)",2065,185,"(0.23316020305463522, 24.93903850971222)",0
./results/DESIGNATE/R_0.3749488311738865_0.5425194262562849.png,"(0.3749488311738865, 0.5425194262562849)",3749,195,"(0.1733443082467576, 24.207164314985057)",0
./results/DESIGNATE/R_0.26396346399281645_0.5781106454753541.png,"(0.26396346399281645, 0.5781106454753541)",2639,208,"(0.31029505947909397, 23.673115525786613)",0
./results/DESIGNATE/R_0.4607370866730174_0.9841628510620669.png,"(0.4607370866730174, 0.9841628510620669)",4607,354,"(0.20238206690015997, 19.673388816849382)",0
./results/DESIGNATE/R_0.374587021965017_0.519350701874182.png,"(0.374587021965017, 0.519350701874182)",3745,186,"(0.21402841972573436, 27.759616396232865)",0
./results/DESIGNATE/R_0.4607370866730174_0.5091765570583735.png,"(0.4607370866730174, 0.5091765570583735)",4607,183,"(0.17065504939276305, 17.586545292356412)",0
./results/DESIGNATE/R_0.47061410769263906_0.5384585183179591.png,"(0.47061410769263906, 0.5384585183179591)",4706,193,"(0.17280352465593726, 16.542445841037036)",0
./results/DESIGNATE/R_0.33326864263605965_0.5899053021962077.png,"(0.33326864263605965, 0.5899053021962077)",3332,212,"(0.2573453230638619, 15.916626105603726)",0
./results/DESIGNATE/R_0.39948123890495096_0.5384585183179591.png,"(0.39948123890495096, 0.5384585183179591)",3994,193,"(0.2393576666893264, 27.65795570260252)",0
./results/DESIGNATE/R_0.513223630242884_0.9841628510620669.png,"(0.513223630242884, 0.9841628510620669)",5132,354,"(0.2708191221150015, 13.782456529913183)",0
./results/DESIGNATE/R_0.39676747423066994_0.9935672706340617.png,"(0.39676747423066994, 0.9935672706340617)",3967,357,"(0.2165640022985606, 28.883170232081678)",0
./results/DESIGNATE/R_0.20445224973151743_0.8642035861926788.png,"(0.20445224973151743, 0.8642035861926788)",2044,311,"(0.42005396201710515, 12.30960354101823)",0
./results/DESIGNATE/R_0.19894521988913244_0.8261654236434941.png,"(0.19894521988913244, 0.8261654236434941)",1989,297,"(0.23673207855153602, 15.61535420593367)",0
./results/DESIGNATE/R_0.26396346399281645_0.7116743521418785.png,"(0.26396346399281645, 0.7116743521418785)",2639,256,"(0.27526496312506066, 15.834536334854647)",0
./results/DESIGNATE/R_0.3804558610561184_0.547388478754687.png,"(0.3804558610561184, 0.547388478754687)",3804,197,"(0.2814107313690329, 18.189296666234757)",0
./results/DESIGNATE/R_0.39676747423066994_0.532696257826974.png,"(0.39676747423066994, 0.532696257826974)",3967,191,"(0.22163894650920718, 12.727208163769872)",0
./results/DESIGNATE/R_0.48436358870340857_0.5384585183179591.png,"(0.48436358870340857, 0.5384585183179591)",4843,193,"(0.2056581536308054, 21.687757312010433)",0
./results/DESIGNATE/R_0.48564483866412855_0.9860043080891184.png,"(0.48564483866412855, 0.9860043080891184)",4856,354,"(0.17265526257239258, 27.14037952270539)",0
./results/DESIGNATE/R_0.3749488311738865_0.5384369492315355.png,"(0.3749488311738865, 0.5384369492315355)",3749,193,"(0.20162543098548857, 17.241875173400423)",0
./results/DESIGNATE/R_0.3809602977642772_0.4649988904919644.png,"(0.3809602977642772, 0.4649988904919644)",3809,167,"(0.18890055548028722, 25.864556877888365)",0
./results/DESIGNATE/R_0.342758824027612_0.5384585183179591.png,"(0.342758824027612, 0.5384585183179591)",3427,193,"(0.16217412475340923, 18.84414431148045)",0
./results/DESIGNATE/R_0.1732771378208171_0.7116743521418785.png,"(0.1732771378208171, 0.7116743521418785)",1732,256,"(0.2170901947020289, 23.073348586062657)",0
./results/DESIGNATE/R_0.25021398305951076_0.4518871439598141.png,"(0.25021398305951076, 0.4518871439598141)",2502,162,"(0.22773752580152445, 16.026853309477843)",0
./results/DESIGNATE/R_0.17807003025563647_0.8601312016999672.png,"(0.17807003025563647, 0.8601312016999672)",1780,309,"(0.07607982584658204, 17.319946945906004)",0
./results/DESIGNATE/R_0.3749488311738865_0.57941197065735.png,"(0.3749488311738865, 0.57941197065735)",3749,208,"(0.1795453002542034, 13.939152331398905)",0
./results/DESIGNATE/R_0.21116493231636463_0.8620844336293138.png,"(0.21116493231636463, 0.8620844336293138)",2111,310,"(0.03421218991013499, 24.067409502430756)",0
./results/DESIGNATE/R_0.3656926179204616_0.5425194262562849.png,"(0.3656926179204616, 0.5425194262562849)",3656,195,"(0.21171561769491315, 27.9310812668339)",0
./results/DESIGNATE/R_0.49304383359400417_0.9841628510620669.png,"(0.49304383359400417, 0.9841628510620669)",4930,354,"(0.22443882651630118, 29.786852974908587)",0
./results/DESIGNATE/R_0.22362128613883106_0.878832801124655.png,"(0.22362128613883106, 0.878832801124655)",2236,316,"(0.31850867128666327, 15.01290187430397)",0
./results/DESIGNATE/R_0.11855436618633972_0.8601312016999672.png,"(0.11855436618633972, 0.8601312016999672)",1185,309,"(0.13274048352414985, 13.851014627753576)",0
./results/DESIGNATE/R_0.21116493231636463_0.5326014389121336.png,"(0.21116493231636463, 0.5326014389121336)",2111,191,"(0.11906661195440754, 24.808997039393944)",0
./results/DESIGNATE/R_0.20438559339855883_0.9321229158444024.png,"(0.20438559339855883, 0.9321229158444024)",2043,335,"(0.18829969928358736, 17.713494127341836)",0
./results/DESIGNATE/R_0.38616807454475327_0.5384585183179591.png,"(0.38616807454475327, 0.5384585183179591)",3861,193,"(0.2172625489857356, 28.660866151153275)",0
./results/DESIGNATE/R_0.1663451334291583_0.7116743521418785.png,"(0.1663451334291583, 0.7116743521418785)",1663,256,"(0.28885284663819044, 19.173992880682395)",0
./results/DESIGNATE/R_0.4373110694114388_0.9841628510620669.png,"(0.4373110694114388, 0.9841628510620669)",4373,354,"(0.0521774021739911, 29.456337080936457)",0
./results/DESIGNATE/R_0.3749488311738865_0.9009924102102079.png,"(0.3749488311738865, 0.9009924102102079)",3749,324,"(0.2175130039507604, 23.120523840208)",0
./results/DESIGNATE/R_0.2115064963831015_0.8620844336293138.png,"(0.2115064963831015, 0.8620844336293138)",2115,310,"(0.21605604894295455, 18.488344486539347)",0
./results/DESIGNATE/R_0.4607370866730174_0.9962619534174773.png,"(0.4607370866730174, 0.9962619534174773)",4607,358,"(0.19088001321430054, 20.06224032959932)",0
./results/DESIGNATE/R_0.17293557375408022_0.7116743521418785.png,"(0.17293557375408022, 0.7116743521418785)",1729,256,"(0.18850745944278047, 17.522117307327242)",0
./results/DESIGNATE/R_0.26034251478203796_0.9412532262116029.png,"(0.26034251478203796, 0.9412532262116029)",2603,338,"(0.20081036372826394, 27.24842578487187)",0
./results/DESIGNATE/R_0.2101189520481188_0.5384585183179591.png,"(0.2101189520481188, 0.5384585183179591)",2101,193,"(0.2246927911703228, 21.796057455279318)",0
./results/DESIGNATE/R_0.43438691805360496_0.9877697532175154.png,"(0.43438691805360496, 0.9877697532175154)",4343,355,"(0.19978810064584893, 21.921685588479107)",0
./results/DESIGNATE/R_0.3979210501236025_0.5384585183179591.png,"(0.3979210501236025, 0.5384585183179591)",3979,193,"(0.1904103623934696, 12.178505340477733)",0
./results/DESIGNATE/R_0.19656549543488586_0.9061575749731503.png,"(0.19656549543488586, 0.9061575749731503)",1965,326,"(0.20823109728490266, 27.464071577602866)",0
./results/DESIGNATE/R_0.20807319894229592_0.473435373283109.png,"(0.20807319894229592, 0.473435373283109)",2080,170,"(0.07763592421940671, 29.086103081512853)",0
./results/DESIGNATE/R_0.43067555066879515_0.5326014389121336.png,"(0.43067555066879515, 0.5326014389121336)",4306,191,"(0.14465857155084091, 29.728125680593305)",0
./results/DESIGNATE/R_0.17307747270385337_0.7256481845323953.png,"(0.17307747270385337, 0.7256481845323953)",1730,261,"(0.07983268613155378, 21.258448518994484)",0
./results/DESIGNATE/R_0.21408908383892034_0.858267078150494.png,"(0.21408908383892034, 0.858267078150494)",2140,308,"(0.2183485407183834, 14.550251646480508)",0
./results/DESIGNATE/R_0.21822047924082746_0.8620844336293138.png,"(0.21822047924082746, 0.8620844336293138)",2182,310,"(0.22446150377317278, 23.22349639586667)",0
./results/DESIGNATE/R_0.1114988193077733_0.8601312016999672.png,"(0.1114988193077733, 0.8601312016999672)",1114,309,"(0.263036978951492, 21.674861646012552)",0
./results/DESIGNATE/R_0.2842677177965474_0.7245424977069448.png,"(0.2842677177965474, 0.7245424977069448)",2842,260,"(0.20160523358021845, 13.159455480257904)",0
./results/DESIGNATE/R_0.20445224973151743_0.8268007801678147.png,"(0.20445224973151743, 0.8268007801678147)",2044,297,"(0.30591379070419317, 21.74479773572965)",0
./results/DESIGNATE/R_0.23500767278670454_0.46538234947441104.png,"(0.23500767278670454, 0.46538234947441104)",2350,167,"(0.3157463233882505, 18.096044608111058)",0
./results/DESIGNATE/R_0.17524896916734367_0.565687104018933.png,"(0.17524896916734367, 0.565687104018933)",1752,203,"(0.3501733400906002, 23.635899192001744)",0
./results/DESIGNATE/R_0.1552063215325072_0.8685071943045344.png,"(0.1552063215325072, 0.8685071943045344)",1552,312,"(0.1877915965930668, 18.388981986353325)",0
./results/DESIGNATE/R_0.20807319894229592_0.49672614014143257.png,"(0.20807319894229592, 0.49672614014143257)",2080,178,"(0.049559807003628574, 29.697907201355836)",0
./results/DESIGNATE/R_0.17807003025563647_0.8523725932281535.png,"(0.17807003025563647, 0.8523725932281535)",1780,306,"(0.07503999632320035, 15.09913595783717)",0
./results/DESIGNATE/R_0.4373110694114388_0.9663159910427238.png,"(0.4373110694114388, 0.9663159910427238)",4373,347,"(0.2389224630871869, 15.19640598831051)",0
./results/DESIGNATE/R_0.2686271494163418_0.6398596587060317.png,"(0.2686271494163418, 0.6398596587060317)",2686,230,"(0.22885849179073375, 23.50399523351785)",0
./results/DESIGNATE/R_0.26771630444293615_0.8620844336293138.png,"(0.26771630444293615, 0.8620844336293138)",2677,310,"(0.19630655042412817, 24.365088497242958)",0
./results/DESIGNATE/R_0.2732431493033603_0.46538234947441104.png,"(0.2732431493033603, 0.46538234947441104)",2732,167,"(0.28529758472985395, 23.00316125396573)",0
./results/DESIGNATE/R_0.211472462762084_0.8620844336293138.png,"(0.211472462762084, 0.8620844336293138)",2114,310,"(0.3138897676044735, 13.287924988102148)",0
./results/DESIGNATE/R_0.21223109862709388_0.8620844336293138.png,"(0.21223109862709388, 0.8620844336293138)",2122,310,"(0.25110024591230623, 26.26464104573557)",0
./results/DESIGNATE/R_0.26626628427771476_0.4789665655409674.png,"(0.26626628427771476, 0.4789665655409674)",2662,172,"(0.3061413493894098, 17.392191613330244)",0
./results/DESIGNATE/R_0.17303155973095594_0.5326014389121336.png,"(0.17303155973095594, 0.5326014389121336)",1730,191,"(0.07910621879501463, 25.255526098355727)",0
./results/DESIGNATE/R_0.19462849996010406_0.8601312016999672.png,"(0.19462849996010406, 0.8601312016999672)",1946,309,"(0.1960166369757541, 29.281418705367464)",0
./results/DESIGNATE/R_0.12170426810217527_0.49672614014143257.png,"(0.12170426810217527, 0.49672614014143257)",1217,178,"(0.21959642658509454, 19.681551873066546)",0
./results/DESIGNATE/R_0.43624490326820997_0.9841628510620669.png,"(0.43624490326820997, 0.9841628510620669)",4362,354,"(0.2360635972383152, 24.90875874061519)",0
./results/DESIGNATE/R_0.20214942944661915_0.8620844336293138.png,"(0.20214942944661915, 0.8620844336293138)",2021,310,"(0.23485086518392173, 14.966366736561149)",0
./results/DESIGNATE/R_0.4309211338285838_0.7116743521418785.png,"(0.4309211338285838, 0.7116743521418785)",4309,256,"(0.34287577425158444, 23.312073035678534)",0
./results/DESIGNATE/R_0.20437752740292364_0.8620844336293138.png,"(0.20437752740292364, 0.8620844336293138)",2043,310,"(0.20460835972884164, 14.504270862386477)",0
